path,width,height,format_or_mode,alpha,purpose
05_symbols/animated/checklist/frames/frame_07.png,512,512,RGBA,yes,frame 07
05_symbols/animated/checklist/preview_checklist.gif,256,256,P,yes,preview checklist
05_symbols/animated/checklist/symbol_checklist_win_sheet.png,2048,1024,RGBA,yes,symbol checklist win sheet
05_symbols/animated/keys/frames/frame_00.png,512,512,RGBA,yes,frame 00
05_symbols/animated/keys/frames/frame_01.png,512,512,RGBA,yes,frame 01
05_symbols/animated/keys/frames/frame_02.png,512,512,RGBA,yes,frame 02
05_symbols/animated/keys/frames/frame_03.png,512,512,RGBA,yes,frame 03
05_symbols/animated/keys/frames/frame_04.png,512,512,RGBA,yes,frame 04
05_symbols/animated/keys/frames/frame_05.png,512,512,RGBA,yes,frame 05
05_symbols/animated/keys/frames/frame_06.png,512,512,RGBA,yes,frame 06
05_symbols/animated/keys/frames/frame_07.png,512,512,RGBA,yes,frame 07
05_symbols/animated/keys/preview_keys.gif,256,256,P,yes,preview keys
05_symbols/animated/keys/symbol_keys_win_sheet.png,2048,1024,RGBA,yes,symbol keys win sheet
05_symbols/animated/lantern/frames/frame_00.png,512,512,RGBA,yes,frame 00
05_symbols/animated/lantern/frames/frame_01.png,512,512,RGBA,yes,frame 01
05_symbols/animated/lantern/frames/frame_02.png,512,512,RGBA,yes,frame 02
05_symbols/animated/lantern/frames/frame_03.png,512,512,RGBA,yes,frame 03
05_symbols/animated/lantern/frames/frame_04.png,512,512,RGBA,yes,frame 04
05_symbols/animated/lantern/frames/frame_05.png,512,512,RGBA,yes,frame 05
05_symbols/animated/lantern/frames/frame_06.png,512,512,RGBA,yes,frame 06
05_symbols/animated/lantern/frames/frame_07.png,512,512,RGBA,yes,frame 07
05_symbols/animated/lantern/preview_lantern.gif,256,256,P,yes,preview lantern
05_symbols/animated/lantern/symbol_lantern_win_sheet.png,2048,1024,RGBA,yes,symbol lantern win sheet
05_symbols/animated/raven/frames/frame_00.png,512,512,RGBA,yes,frame 00
05_symbols/animated/raven/frames/frame_01.png,512,512,RGBA,yes,frame 01
05_symbols/animated/raven/frames/frame_02.png,512,512,RGBA,yes,frame 02
05_symbols/animated/raven/frames/frame_03.png,512,512,RGBA,yes,frame 03
