path,width,height,format_or_mode,alpha,purpose
11_vfx/maxzero_collision/frames/frame_07.png,1024,1024,RGBA,yes,frame 07
11_vfx/maxzero_collision/maxzero_collision_sheet.png,4096,2048,RGBA,yes,maxzero collision sheet
11_vfx/particles/particle_field_lantern_sparks.png,512,512,RGBA,yes,particle field lantern sparks
11_vfx/particles/particle_field_moon_dust.png,512,512,RGBA,yes,particle field moon dust
11_vfx/particles/particle_field_risk_crimson.png,512,512,RGBA,yes,particle field risk crimson
11_vfx/particles/particle_field_risk_cyan.png,512,512,RGBA,yes,particle field risk cyan
11_vfx/particles/particle_field_spectral_green.png,512,512,RGBA,yes,particle field spectral green
11_vfx/particles/particle_field_spectral_violet.png,512,512,RGBA,yes,particle field spectral violet
11_vfx/spin_fog/frames/frame_00.png,1024,1024,RGBA,yes,frame 00
11_vfx/spin_fog/frames/frame_01.png,1024,1024,RGBA,yes,frame 01
11_vfx/spin_fog/frames/frame_02.png,1024,1024,RGBA,yes,frame 02
11_vfx/spin_fog/frames/frame_03.png,1024,1024,RGBA,yes,frame 03
11_vfx/spin_fog/frames/frame_04.png,1024,1024,RGBA,yes,frame 04
11_vfx/spin_fog/frames/frame_05.png,1024,1024,RGBA,yes,frame 05
11_vfx/spin_fog/frames/frame_06.png,1024,1024,RGBA,yes,frame 06
11_vfx/spin_fog/frames/frame_07.png,1024,1024,RGBA,yes,frame 07
11_vfx/spin_fog/spin_fog_sheet.png,4096,2048,RGBA,yes,spin fog sheet
11_vfx/super_energy/frames/frame_00.png,1024,1024,RGBA,yes,frame 00
11_vfx/super_energy/frames/frame_01.png,1024,1024,RGBA,yes,frame 01
11_vfx/super_energy/frames/frame_02.png,1024,1024,RGBA,yes,frame 02
11_vfx/super_energy/frames/frame_03.png,1024,1024,RGBA,yes,frame 03
11_vfx/super_energy/frames/frame_04.png,1024,1024,RGBA,yes,frame 04
11_vfx/super_energy/frames/frame_05.png,1024,1024,RGBA,yes,frame 05
11_vfx/super_energy/frames/frame_06.png,1024,1024,RGBA,yes,frame 06
11_vfx/super_energy/frames/frame_07.png,1024,1024,RGBA,yes,frame 07
11_vfx/super_energy/super_energy_sheet.png,4096,2048,RGBA,yes,super energy sheet
12_marketing/graveyard_shift_cover_1920x1080.jpg,1920,1080,RGB,no,graveyard shift cover 1920x1080
12_marketing/graveyard_shift_mobile_splash_1080x1920.jpg,1080,1920,RGB,no,graveyard shift mobile splash 1080x1920
12_marketing/graveyard_shift_thumbnail_1024.png,1024,1024,RGB,no,graveyard shift thumbnail 1024
12_marketing/graveyard_shift_thumbnail_512.png,512,512,RGB,no,graveyard shift thumbnail 512
13_previews/all_modes_contact_sheet_2880x1080.jpg,2880,1080,RGB,no,all modes contact sheet 2880x1080
13_previews/gameplay_ante_1440x1080.jpg,1440,1080,RGB,no,gameplay ante 1440x1080
13_previews/gameplay_base_1440x1080.jpg,1440,1080,RGB,no,gameplay base 1440x1080
13_previews/gameplay_bonus_1440x1080.jpg,1440,1080,RGB,no,gameplay bonus 1440x1080
13_previews/gameplay_boosted_1440x1080.jpg,1440,1080,RGB,no,gameplay boosted 1440x1080
13_previews/gameplay_hidden_1440x1080.jpg,1440,1080,RGB,no,gameplay hidden 1440x1080
13_previews/gameplay_maxzero_1440x1080.jpg,1440,1080,RGB,no,gameplay maxzero 1440x1080
13_previews/gameplay_super_1440x1080.jpg,1440,1080,RGB,no,gameplay super 1440x1080
13_previews/symbols_contact_sheet.jpg,1536,1152,RGB,no,symbols contact sheet
